TRAIN / TEST / VALIDATE,PATH,LABEL
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-1-0001-2.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-1-0001-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-1-0001-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-1-0001-6.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-1-0001-7.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-1-0001-8.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-2-0001-1.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-2-0001-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-2-0001-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-2-0001-6.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-2-0001-7.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-2-0001-8.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-3-0001-1.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-3-0001-2.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-3-0001-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-3-0001-6.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-3-0001-7.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-3-0001-8.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-4-0001-1.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-4-0001-2.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-4-0001-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-4-0001-6.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-4-0001-7.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-4-0001-8.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-6-0001-1.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-6-0001-2.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-6-0001-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-6-0001-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-6-0001-7.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-6-0001-8.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-7-0001-1.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-7-0001-2.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-7-0001-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-7-0001-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-7-0001-6.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-7-0001-8.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-8-0001-1.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-8-0001-2.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-8-0001-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-8-0001-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-8-0001-6.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0001-8-0001-7.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-1-0002-2.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-1-0002-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-1-0002-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-1-0002-6.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-1-0002-7.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-1-0002-8.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-2-0002-1.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-2-0002-3.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-2-0002-4.png,Poz
TRAIN,gs://google_storage_bucket_name/Train_Poz_Samp/0002-2-0002-6.png,Poz
